111601014, 33
111601015, 37
111601016, 46
111601017, 38
111601018, 33
111601019, 44
111601020, 42
111601021, 46
111601022, 49
111601023, 36
111601024, 44
111601025, 45
111601026, 44
111601027, 37
111601028, 47
111601029, 47
111601030, 42
121601001, 31
121601002, 36
121601003, 35
121601004, 34
121601005, 30
121601006, 41
121601007, 47
121601008, 31
121601009, 39
121601011, 37
121601012, 47
121601013, 36
121601014, 36
121601015, 49
121601016, 38
121601017, 42
121601018, 33
121601019, 40
121601020, 38
121601021, 30
121601022, 46
121601023, 48
121601024, 36
121601025, 31
121601026, 49
121601027, 34
121601028, 31
131601001, 43
131601002, 44
131601003, 34
131601004, 37
131601005, 33
131601006, 37
131601007, 49
131601008, 42
131601009, 47
131601010, 45
131601011, 44
131601012, 48
131601013, 39
131601014, 45
131601015, 48
101601014, 32
101601016, 37
101601017, 39
101601018, 32
101601019, 39
101601020, 43
101601021, 41
101601022, 39
101601023, 31
101601024, 34
101601025, 48
101601026, 45
101601027, 43
111501018, 41
111601001, 46
111601002, 32
111601003, 46
111601004, 35
111601005, 34
111601006, 46
111601007, 36
111601008, 43
111601009, 34
111601010, 32
111601012, 44
111601013, 44
131601016, 43
131601017, 38
131601018, 46
131601019, 33
131601020, 43
131601021, 36
131601022, 34
131601024, 38
131601025, 39
131601026, 47
131601027, 34
131601028, 40
131601029, 40
131601030, 42
101601001, 33
101601002, 47
101601003, 43
101601004, 36
101601005, 39
101601006, 32
101601007, 40
101601008, 33
101601009, 30
101601010, 42
101601011, 41
101601012, 37
101601013, 32
