0.062832	-0.206044
0.125664	0.994621
0.188496	-0.829393
0.251327	-0.742825
0.314159	-0.041494
0.376991	0.469752
0.439823	0.763006
0.502655	0.913642
0.565487	0.980542
0.628319	0.999785
0.691150	0.992330
0.753982	0.970257
0.816814	0.940558
0.879646	0.907301
0.942478	0.872860
1.005310	0.838606
1.068141	0.805314
1.130973	0.773404
1.193805	0.743078
1.256637	0.714406
1.319469	0.687384
1.382301	0.661961
1.445133	0.638061
1.507964	0.615599
1.570796	0.594481
1.633628	0.574616
1.696460	0.555915
1.759292	0.538293
1.822124	0.521672
1.884956	0.505979
1.947787	0.491144
2.010619	0.477106
2.073451	0.463807
2.136283	0.451194
2.199115	0.439218
2.261947	0.427836
2.324779	0.417006
2.387610	0.406691
2.450442	0.396857
2.513274	0.387472
2.576106	0.378507
2.638938	0.369936
2.701770	0.361735
2.764601	0.353880
2.827433	0.346350
2.890265	0.339127
2.953097	0.332193
3.015929	0.325531
3.078761	0.319125
3.141593	0.312962
3.204425	0.307028
3.267256	0.301311
3.330088	0.295799
3.392920	0.290483
3.455752	0.285351
3.518584	0.280395
3.581416	0.275605
3.644248	0.270974
3.707079	0.266494
3.769911	0.262158
3.832743	0.257960
3.895575	0.253892
3.958407	0.249948
4.021239	0.246124
4.084071	0.242414
4.146902	0.238814
4.209734	0.235317
4.272566	0.231920
4.335398	0.228619
4.398230	0.225410
4.461061	0.222289
4.523893	0.219253
4.586725	0.216297
4.649557	0.213420
4.712389	0.210617
4.775221	0.207887
4.838053	0.205226
4.900885	0.202632
4.963717	0.200102
5.026548	0.197634
5.089380	0.195226
5.152212	0.192875
5.215044	0.190580
5.277875	0.188339
5.340707	0.186149
5.403539	0.184009
5.466371	0.181918
5.529203	0.179874
5.592035	0.177874
5.654867	0.175919
5.717699	0.174005
5.780530	0.172133
5.843362	0.170300
5.906194	0.168506
5.969026	0.166749
6.031858	0.165028
6.094690	0.163342
6.157522	0.161690
6.220354	0.160071
6.283185	0.158484
